match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match
86769,2025-04-15,Inferno,3,Rare Atom,Lynn Vision,Lynn Vision,36,13,23,23,1,0,1.0,0.5,0.3333333333333333,0.5,0,train,train
86769,2025-04-15,Dust2,4,Rare Atom,Lynn Vision,Lynn Vision,36,13,23,23,0,0,0.0,0.5,0.3,1.0,0,train,train
86893,2025-04-15,Ancient,7,B8,PARIVISION,B8,23,35,-12,12,0,1,0.5,0.0,0.6,0.0,1,train,train
86937,2025-04-15,Mirage,3,Sharks,Solid,Sharks,63,51,12,12,0,0,0.5,0.5,0.5,0.5,1,train,train
86937,2025-04-15,Nuke,4,Sharks,Solid,Sharks,63,51,12,12,1,0,0.5,0.5,1.0,0.0,1,train,train
86900,2025-04-15,Dust2,3,HEROIC,Nemiga,HEROIC,14,41,-27,27,0,0,0.5,1.0,1.0,0.75,1,train,val
86895,2025-04-15,Mirage,7,BetBoom,fnatic,BetBoom,20,21,-1,1,0,1,0.5,0.5,1.0,0.3333333333333333,1,train,test
86938,2025-04-15,Dust2,3,Fluxo,BESTIA,Fluxo,46,53,-7,7,0,0,0.0,1.0,0.0,1.0,1,train,train
86938,2025-04-15,Ancient,4,Fluxo,BESTIA,Fluxo,46,53,-7,7,1,0,0.5,0.5,0.3333333333333333,0.6666666666666666,1,train,train
86899,2025-04-15,Inferno,7,OG,Metizport,OG,30,78,-48,48,0,1,0.5,1.0,0.6666666666666666,0.5,1,train,train
86894,2025-04-15,Ancient,4,GamerLegion,500,GamerLegion,16,51,-35,35,1,0,0.5,0.5,0.375,0.5,1,train,train
86894,2025-04-15,Anubis,3,GamerLegion,500,GamerLegion,16,51,-35,35,0,0,0.5,0.5,0.4444444444444444,0.0,1,train,train
86939,2025-04-15,Mirage,4,Legacy,RED Canids,Legacy,19,75,-56,56,1,0,0.0,0.5,0.5,0.5,1,train,val
86900,2025-04-15,Mirage,4,HEROIC,Nemiga,HEROIC,14,41,-27,27,1,0,0.5,0.6666666666666666,1.0,0.6666666666666666,1,train,val
86898,2025-04-15,Train,7,Astralis,ENCE,Astralis,11,29,-18,18,0,1,0.5,0.5,0.3,0.0,1,train,train
86893,2025-04-15,Dust2,3,B8,PARIVISION,PARIVISION,23,35,-12,12,0,0,0.0,0.5,0.6666666666666666,0.0,0,val,train
86899,2025-04-15,Mirage,3,OG,Metizport,OG,30,78,-48,48,0,0,0.5,0.75,0.75,0.5,1,train,train
86937,2025-04-15,Anubis,7,Sharks,Solid,Sharks,63,51,12,12,0,1,0.5,0.5,1.0,0.0,1,train,train
86908,2025-04-16,Ancient,7,Astralis,BIG,Astralis,11,45,-34,34,0,1,0.6666666666666666,0.5,0.3,0.5,1,val,train
86906,2025-04-16,Inferno,3,Nemiga,BIG,Nemiga,41,45,-4,4,0,0,0.0,0.5,0.6,0.0,1,train,train
86905,2025-04-16,Mirage,4,Metizport,Astralis,Astralis,78,11,67,67,1,0,0.6,0.5,0.5,0.3,0,test,train
